Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"70161-1","Ultra Agents","",2014,"Tremor Track Infiltration",2,241,17.99,19.99,24.99,19.99,5702015124249,673419210478,26.1874,19.1008,6.096,0.31,"",0,0,0,,0,0,,,,,,,,,41.1000,17.2400,"01/06/2014","31/07/2015"
"21141-1","Minecraft","Minifig-scale",2018,"The Zombie Cave",3,241,19.99,19.99,24.99,19.49,5702016109597,673419281539,26.2,19.1,6.1,0.39,"",0,0,0,,0,0,,,,,,,,,25.5500,14.1800,"01/01/2018","31/12/2020"
"75200-1","Star Wars","Episode VIII",2018,"Ahch-To Island Training",2,241,25.99,29.99,34.99,29.99,5702016109948,673419281683,26.2,19.1,6.1,0.39,"",0,0,0,,0,0,,,,,,,,,39.5100,27.5500,"01/01/2018","31/12/2019"
"31074-1","Creator","3 in 1",2018,"Rocket Rally Car",,241,17.99,19.99,24.99,19.99,5702016111798,673419283267,26.2,19.1,6.1,0.44,"",0,0,0,,0,0,,,,,,,,,28.0000,13.2600,"01/01/2018","31/12/2019"
"21171-1","Minecraft","Minifig-scale",2021,"The Horse Stable",2,241,17.99,19.99,24.99,19.99,5702016913897,673419340663,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.7900,15.4000,"01/06/2021","31/12/2022"
"41392-1","Friends","Great Outdoors",2020,"Nature Glamping",2,241,24.99,29.99,39.99,29.99,5702016618792,673419319775,35.4,19.1,7,0.62,"",0,0,0,,0,0,,,,,,,,,28.7000,16.3700,"01/01/2020","31/12/2021"
"76382-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Transfiguration Class",3,241,24.99,29.99,39.99,29.99,5702016913576,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,25.4300,20.1000,"01/01/2021","31/12/2022"
"41372-1","Friends","Sports",2019,"Stephanie's Gymnastics Show",2,241,24.99,29.99,39.99,29.23,5702016369168,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,75.3700,19.5500,"01/06/2019","31/12/2020"
"1955-1","Promotional","Ferries",1993,"Color Line Ferry",,241,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,246.7500,216.0600,"",""
"6552-1","Town","Leisure",1993,"Rocky River Retreat",2,241,,29.75,,,5702010965526,,,,,,"",0,0,0,,0,0,,,,,,,,,187.9600,63.7300,"",""
"7292-1","Creator","3 in 1",2012,"Propeller Adventures",,241,17.99,19.99,24.99,,5702014839991,673419167215,28.2,26.2,4.6,0.48,"",0,0,0,,0,0,,,,,,,,,27.2700,9.2500,"01/01/2012","31/12/2013"
"3817-1","SpongeBob SquarePants","",2012,"The Flying Dutchman",3,241,24.99,24.99,29.99,,5702014842700,673419168595,35.4,19.1,5.9,0.39,"",0,0,0,,0,0,,,,,,,,,111.3400,56.2500,"01/01/2012","31/12/2013"
"7929-1","Star Wars","Episode I",2011,"The Battle of Naboo",12,241,25.99,24.99,34.99,,5702014734289,673419144520,28.19,26.19,4.6,0.34,"",0,0,0,,0,0,,,,,,,,,91.1300,35.5500,"01/01/2011","31/12/2012"
"1049-1","Dacta","",1985,"Ships",3,241,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"7776-1","Aqua Raiders","",2007,"The Shipwreck",3,241,19.99,24.99,,,,673419093194,38.4,28.8,4.8,,"",0,0,0,,0,0,,,,,,,,,98.0000,44.8700,"01/02/2007","31/12/2007"
"5515-1","Make and Create","",2007,"Fun Building with LEGO Bricks",,240,,11.99,,,5702014505612,,,,,,"",0,0,0,,0,0,,,,,,,,,22.1400,13.2700,"",""
"9243-1","Dacta","",1998,"Doors, Windows and Roof Tiles",,240,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,76.0300,,"",""
"519-8","Duplo","",1975,"Bricks and half bricks and arches and trolley",,240,1.95,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"21007-1","Architecture","Architect Series",2011,"Rockefeller Centre",,240,34.99,39.99,49.99,,5702014804258,673419160155,,,,,"",0,0,0,,0,0,,,,,,,,,116.2000,63.2600,"",""
"3874-1","Games","Heroica",2012,"Ilrion",8,240,14.99,19.99,26.99,,5702014831575,673419165907,19.2,27.2,5.41,0.39,"",0,0,0,,0,0,,,,,,,,,59.2200,50.1200,"01/08/2012","31/07/2013"
"8009-1","Star Wars","Technic",2002,"R2-D2",,240,17.99,20,,,,673419010351,19.2,28.8,4.8,,"",0,0,0,,0,0,,,,,,,,,91.0600,22.4400,"01/01/2002","31/12/2003"
"8835-1","Technic","",1989,"Forklift",,240,,,,,5702010988358,,,,,,"",0,0,0,,0,0,,,,,,,,,159.5600,17.0400,"",""
"2250-1","Basic","Seasonal",2000,"Advent Calendar",,240,,20,,,5702012008962,,,,,,"",0,0,0,,0,0,,,,,,,,,52.0100,9.2300,"",""
"41611-1","BrickHeadz","Back to the Future",2018,"Marty McFly & Doc Brown",,240,17.99,19.99,24.99,19.99,5702016110913,673419282512,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,52.4700,40.0000,"01/05/2018","31/12/2018"
"40411-1","Promotional","Gift with Purchase",2020,"Creative Fun 12-in-1",,240,,,,,5702016720082,,26,13.8,4.5,0.334,"",0,0,0,,0,0,,,,,,,,,8.0900,4.7500,"01/06/2020","31/12/2020"
"75232-1","BrickHeadz","Star Wars",2019,"Kylo Ren & Sith Trooper",,240,17.99,19.99,24.99,19.99,5702016644180,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,33.3700,22.0600,"01/12/2019","31/07/2020"
"41390-1","Friends","Music",2020,"Andrea's Car & Stage",2,240,17.99,19.99,24.99,19.99,5702016618778,673419319751,26.2,19.1,6.1,0.34,"",0,0,0,,0,0,,,,,,,,,15.2000,10.4900,"01/01/2020","31/12/2021"
"76941-1","Jurassic World"," Camp Cretaceous",2021,"Carnotaurus Dinosaur Chase",3,240,44.99,49.99,69.99,49.99,5702017079745,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,48.0300,39.5000,"01/09/2021","31/12/2022"
"43195-1","Disney","Disney Princess",2021,"Belle and Rapunzel's Royal Stables",2,239,44.99,49.99,69.99,49.99,5702016909661,673419337625,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,25.2300,,"01/08/2021","31/12/2022"
"77943-1","City","Fire",2021,"Fire Station Starter Set",3,239,24.99,,,,,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,30.9500,10.6800,"01/09/2021","31/12/2021"
"40566-1","Ideas","Promotional",2022,"Ray the Castaway",1,239,,,,,5702017241869,,19,14,7,0.292,"",0,0,0,,0,0,,,,,,,,,22.8600,21.9700,"01/10/2022","31/12/2022"
"40540-1","BrickHeadz","Seasonal",2022,"Lion Dance Guy",,239,9.99,9.99,12.99,9.99,5702017166919,673419359726,14.1,12.2,6.1,0.192,"",0,0,0,,0,0,,,,,,,,,13.4900,10.1000,"01/01/2022","31/12/2023"
"40371-1","Seasonal","Easter",2020,"Easter Egg",,239,11.99,12.99,16.99,12.99,5702016650167,,18.9,14,6.9,0.252,"",0,0,0,,0,0,,,,,,,,,12.4300,9.1500,"01/03/2020","31/12/2021"
"60148-1","City","Racing",2017,"ATV Race Team",2,239,17.99,19.99,24.99,19.99,5702015865760,673419264679,26.2128,19.1008,7.2136,0.453592,"",0,0,0,,0,0,,,,,,,,,32.9700,14.8400,"",""
"6931-1","Space","Classic",1985,"FX Star Patroller",2,239,,,,,,042884069315,,,,,"",0,0,0,,0,0,,,,,,,,,600.0000,78.1700,"",""
"8184-1","Racers","Remote Control",2009,"Twin X-treme RC",,239,36.19,,,,5702014534346,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,118.0700,94.9900,"01/03/2009","31/12/2009"
"9633-1","Education","Technic",1997,"Advanced Air Power Set",,238,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,215.2000,189.0500,"",""
"7166-1","Star Wars","Episode VI",2001,"Imperial Shuttle",4,238,27.99,35,,,5702012012570,042884071660,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,125.8300,55.3500,"01/01/2001","31/12/2002"
"8640-1","Technic","Arctic",1986,"Polar Copter",1,238,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,141.5600,26.2200,"",""
"4706-1","Harry Potter","Philosopher's Stone",2001,"Forbidden Corridor",3,238,24.99,30,,,5702012016646,042884047061,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,74.3800,40.9900,"01/10/2001","31/12/2003"
"40205-1","Seasonal","Christmas",2016,"Little Elf Helpers",,238,8.49,9.99,11.99,,5702015594561,,14.1,12.2,6.1,0.183,"",0,0,0,,0,0,,,,,,,,,15.3000,9.0000,"01/11/2016","31/12/2016"
"60254-1","City","Great Vehicles",2020,"Race Boat Transporter",2,238,24.99,29.99,39.99,29.99,5702016617887,673419319225,35.2,19,8.9,0.564,"",0,0,0,,0,0,,,,,,,,,26.5700,16.9200,"01/01/2020","31/12/2021"
"43180-1","Disney","Beauty and the Beast",2020,"Belle's Castle Winter Celebration",8,238,44.99,49.99,69.99,49.99,5702016618655,673419319720,38.2,26.2,5.7,0.59,"",0,0,0,,0,0,,,,,,,,,50.8100,38.5000,"01/06/2020","31/07/2021"
"76225-1","Marvel Super Heroes","Spider-Man",2022,"Miles Morales Figure",,238,24.99,24.99,34.99,29.99,5702017154657,673419356589,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,13.4700,,"01/09/2022","31/12/2023"
"21165-1","Minecraft","Minifig-scale",2021,"The Bee Farm",2,238,17.99,19.99,24.99,19.99,5702016913774,673419340205,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.0000,14.9900,"01/12/2020","31/12/2022"
"40544-1","BrickHeadz","Pets",2022,"French Bulldog",,237,13.49,14.99,19.99,14.99,5702017166940,673419359757,15.7,14.1,7.1,0.238,"",0,0,0,,0,0,,,,,,,,,18.5800,8.9700,"01/01/2022","31/12/2022"
"43192-1","Disney","Cinderella",2021,"Cinderella's Royal Carriage",2,237,34.99,39.99,49.99,39.99,5702016916430,,35.4,19.1,5.9,0.446,"",0,0,0,,0,0,,,,,,,,,40.5700,15.5700,"01/01/2021","31/12/2022"
"76015-1","Marvel Super Heroes","Ultimate Spider-Man",2014,"Doc Ock Truck Heist",3,237,19.99,19.99,24.99,24.99,5702015128797,673419212540,26.1874,19.1008,6.096,0.39,"",0,0,0,,0,0,,,,,,,,,51.8900,20.7600,"01/03/2014","31/12/2015"
"70167-1","Ultra Agents","",2015,"Invizable Gold Getaway",2,237,17.99,19.99,24.99,19.99,5702015354257,673419232036,26.2,19.1,4.6,0.3,"",0,0,0,,0,0,,,,,,,,,88.1400,44.5600,"01/01/2015","31/07/2015"
"31034-1","Creator","3 in 1",2015,"Future Flyer",,237,17.99,24.99,29.99,19.99,5702015347853,673419229876,26.2128,19.1008,6.096,0.41768,"",0,0,0,,0,0,,,,,,,,,24.0000,13.0700,"01/01/2015","31/12/2016"
"70312-1","Nexo Knights","Season 1",2016,"Lance's Mecha Horse",3,237,17.99,19.99,24.99,19.99,,673419244541,26.2128,19.1008,4.5974,0.28148,"",0,0,0,,0,0,,,,,,,,,26.7500,11.5600,"01/01/2016","31/12/2016"
"4857-1","Spider-Man","Spider-Man 2",2004,"Doc Ock's Fusion Lab",4,237,17.99,20,,,5702014400085,673419046213,28.8,19.2,6,0.38,"",0,0,0,,0,0,,,,,,,,,201.0200,93.0800,"01/05/2004","31/12/2004"
"5960-1","Belville","",2005,"The Mermaid Castle",3,237,49.99,70,,,,,48,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,250.0000,210.0800,"01/03/2005","31/12/2006"
"6561-1","Town","Vehicles",1994,"Hot Rod Club",3,237,,26.5,,,5702010965618,042884065614,,,,,"",0,0,0,,0,0,,,,,,,,,181.3900,62.3300,"",""
"6493-1","Time Cruisers","",1996,"Flying Time Vessel",2,237,,44,,,5702010964932,,38.4,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,102.8100,46.4900,"01/07/1996","31/12/1998"
"6478-1","Town","City",2000,"Fire Fighters' HQ",4,237,,50,,,,,38.4,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,50.7900,49.5000,"01/01/2000","30/06/2001"
"76004-1","Marvel Super Heroes","Ultimate Spider-Man",2013,"Spider-Man: Spider-Cycle Chase",3,237,19.99,19.99,24.99,,5702014972698,673419190428,26.1874,19.1008,6.096,0.34,"",0,0,0,,0,0,,,,,,,,,32.5500,18.3200,"01/01/2013","31/12/2014"
"3658-1","City","Police",2011,"Police Helicopter",4,237,26.99,34.99,44.99,,5702014730359,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,35.9300,14.9400,"01/01/2011","31/12/2012"
"8159-1","Racers","Speed Racer",2008,"Racer X & Taejo Togokhan",2,237,12.69,19.99,,,5702014521322,673419103794,28.8,28.8,6,0.45,"",0,0,0,,0,0,,,,,,,,,63.9900,35.0000,"01/04/2008","31/12/2008"
"391-1","Hobby Set","",1975,"1926 Renault",,237,3.4,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,377.8200,67.2700,"",""
"71454-1","Dreamzzz","Trials of the Dream Chasers",2023,"Mateo and Z-Blob the Robot",2,237,18.99,19.99,24.99,20.99,5702017419244,673419376211,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,15.1000,,"01/08/2023","31/12/2024"
"3832-1","SpongeBob SquarePants","",2008,"SpongeBob's Emergency",3,236,24.49,29.99,,,5702014525993,,38.4,28.8,6,,"",0,0,0,,0,0,,,,,,,,,176.2500,90.0000,"01/08/2008","31/12/2008"
"6075-1","Castle","Wolfpack",1992,"Wolfpack Tower",4,236,,29.75,,,5702010960750,042884060756,,,,,"",0,0,0,,0,0,,,,,,,,,1080.0000,124.3000,"",""
"6062-1","Castle","Black Falcons",1987,"Battering Ram",6,236,,19.95,,,,042884060626,,,,,"",0,0,0,,0,0,,,,,,,,,776.6700,141.8100,"",""
"6915-1","Space","UFO",1997,"Warp Wing Fighter",2,236,,30,,,5702010969159,,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,210.2900,55.8800,"01/09/1997","31/12/1998"
"4556-1","Trains","9V",1999,"Train Station",7,236,,46,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,139.2100,51.3900,"01/07/1999","31/12/2002"
"1656-1","Town","Fire",1991,"Evacuation Team",2,236,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,150.0000,40.2400,"",""
"1620-2","Town","Special",1978,"Chocolate Factory",3,236,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,126.8900,"",""
"70747-1","Ninjago","Tournament of Elements",2015,"Boulder Blaster",3,236,24.99,29.99,39.99,34.99,5702015347440,673419229647,35.4076,19.1008,5.8928,0.44492,"",0,0,0,,0,0,,,,,,,,,46.1700,17.8300,"01/01/2015","31/07/2016"
"31114-1","Creator","3 in 1",2021,"Superbike",,236,17.99,19.99,24.99,19.99,5702016888362,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,14.5300,7.7700,"01/01/2021","31/12/2022"
"41420-1","Friends","Seasonal",2020,"Friends Advent Calendar",5,236,19.99,29.99,39.99,24.36,5702016616743,673419317962,38.2,26.2,7.1,0.35,"",0,0,0,,0,0,,,,,,,,,22.5300,,"01/09/2020","31/12/2020"
"75271-1","Star Wars","Episode IV",2020,"Luke Skywalker's Landspeeder",3,236,24.99,29.99,39.99,29.99,5702016617177,673419318389,26.2,19.1,6.1,0.31,"",0,0,0,,0,0,,,,,,,,,34.6100,26.5000,"01/01/2020","31/12/2021"
"70826-1","The LEGO Movie 2","",2019,"Rex's Rex-treme Offroader!",2,236,24.99,29.99,39.99,29.99,5702016368086,673419302258,35.4,19.1,5.9,0.44,"",0,0,0,,0,0,,,,,,,,,22.6100,18.6700,"01/01/2019","31/12/2019"
"40543-1","BrickHeadz","Pets",2022,"St. Bernard",,236,13.49,14.99,19.99,14.99,5702017166933,673419359740,15.7,14.1,7.1,0.237,"",0,0,0,,0,0,,,,,,,,,19.9700,15.2200,"01/01/2022","31/12/2022"
"6373604-1","Promotional","Gift with Purchase",2021,"Ulysses Space Probe",,236,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,214.6600,,"",""
"6373603-1","Promotional","Gift with Purchase",2021,"Ulysses Space Probe",,236,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60391-1","City","Construction",2023,"Construction Trucks and Wrecking Ball Crane",4,235,44.99,59.99,79.99,49.99,5702017416465,673419375238,47.8,28,5.8,0.992,"",0,0,0,,0,0,,,,,,,,,39.5300,,"01/06/2023","31/12/2024"
"41365-1","Friends","Heartlake City",2019,"Emma's Art Studio",2,235,19.99,24.99,34.99,24.99,5702016369403,673419303569,22.2,26.2,6.2,0.42,"",0,0,0,,0,0,,,,,,,,,40.4400,15.9800,"",""
"75239-1","Star Wars","Episode V",2019,"Action Battle Hoth Generator Attack",2,235,24.99,29.99,39.99,29.23,5702016370157,673419304092,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.8900,15.8700,"01/04/2019","31/07/2020"
"76095-1","DC Comics Super Heroes","Aquaman",2018,"Aquaman: Black Manta Strike ",3,235,29.99,29.99,39.99,34.99,5702016110470,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,61.7100,47.8600,"01/08/2018","31/12/2019"
"76113-1","Marvel Super Heroes","Spider-Man",2019,"Spider-Man Bike Rescue",3,235,19.99,19.99,24.99,24.36,5702016368666,673419302890,26.2,19.1,6.1,0.34,"",0,0,0,,0,0,,,,,,,,,47.6000,16.2500,"",""
"40407-1","Star Wars","Promotional",2020,"Death Star II Battle",,235,,,,,5702016656671,673419321471,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,24.6300,16.1700,"01/05/2020","31/12/2020"
"41391-1","Friends","Heartlake City",2020,"Heartlake City Hair Salon",2,235,17.99,19.99,24.99,19.99,5702016618785,673419319768,26.2,19.1,6.1,0.38,"",0,0,0,,0,0,,,,,,,,,18.4500,18.0000,"01/01/2020","31/12/2021"
"3808-1","Spybotics","",2002,"Shadowstrike S70",,235,59.99,60,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,119.0000,47.5900,"",""
"8463-1","Technic","",2001,"Forklift",1,235,,30,,,,,28.8,24,4.8,,"",0,0,0,,0,0,,,,,,,,,80.0000,21.7300,"01/09/2001","31/12/2001"
"7647-1","Space","Mars Mission",2008,"MX-41 Switch Fighter",2,235,14.65,19.99,,,5702014515802,673419101578,28.8,28.8,6,0.51,"",0,0,0,,0,0,,,,,,,,,180.1500,36.3300,"",""
"8960-1","Power Miners","",2009,"Thunder Driller",3,235,21.99,29.99,,,,673419112802,38.2,26.2,9.4,0.7,"",0,0,0,,0,0,,,,,,,,,132.4600,59.7700,"01/01/2009","31/07/2010"
"9247-2","Education","",2006,"Community Workers",31,235,36.99,49.99,69.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,84.9300,46.3500,"",""
"266-1","Homemaker","",1974,"Children's room",,235,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,128.9500,30.7100,"",""
"31008-1","Creator","3 in 1",2013,"Thunder Wings",,235,14.99,19.99,24.99,,5702014972018,673419189842,26.2,19.1,6.1,0.48,"",0,0,0,,0,0,,,,,,,,,31.0000,23.7200,"",""
"9509-1","Star Wars","Seasonal",2012,"LEGO Star Wars Advent Calendar",10,234,24.99,49.99,49.99,,5702014841031,673419167987,38.2,26.19,7.06,0.37,"",0,0,0,,0,0,,,,,,,,,54.8700,25.3700,"01/09/2012","31/12/2012"
"044-1","System","Basic Set",1968,"Basic Building Set",,234,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,164.6700,63.7300,"",""
"125-2","Universal Building Set","",1974,"Universal Building Set",,234,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,119.0000,,"",""
"7625-1","Indiana Jones","Kingdom of the Crystal Skull",2008,"River Chase",4,234,18.59,19.99,,,5702014518346,673419102995,28.8,28.8,4.8,0.42,"",0,0,0,,0,0,,,,,,,,,127.0700,33.7800,"01/05/2008","31/12/2009"
"4119-1","Creator","",2001,"Regular and Transparent Bricks",,234,11.99,15,,,5702012013218,,,,,,"",0,0,0,,0,0,,,,,,,,,25.7500,17.9700,"",""
"76148-1","Marvel Super Heroes","Spider-Man",2020,"Spider-Man vs. Doc Ock",3,234,19.99,19.99,24.99,29.23,5702016619317,673419320399,26.2,19.1,6.1,0.3,"",0,0,0,,0,0,,,,,,,,,34.1200,29.1000,"01/01/2020","31/12/2020"
"31102-1","Creator","3 in 1",2020,"Fire Dragon",,234,17.99,19.99,24.99,19.99,5702016616286,673419317757,26.2,19.1,4.6,0.34,"",0,0,0,,0,0,,,,,,,,,21.4800,10.0000,"01/01/2020","31/12/2021"
"45025-1","Education","Duplo",2018,"Coding Express",6,234,274.99,239.95,399.99,304.99,5702016349436,673419335676,,,,,"",0,0,0,,0,0,,,,,,,,,235.0000,,"",""
"41614-1","BrickHeadz","Jurassic World",2018,"Owen & Blue",,234,17.99,19.99,24.99,19.99,5702016110883,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,28.4200,32.0400,"16/04/2018","31/12/2018"
"60235-1","City","Seasonal",2019,"City Advent Calendar",8,234,22.99,29.99,39.99,19.99,5702016369809,,37.9,25.9,6.8,0.387,"",0,0,0,,0,0,,,,,,,,,28.9000,19.0000,"01/09/2019","31/12/2019"
"60232-1","City","Town",2019,"Garage Centre",4,234,34.99,49.99,79.99,38.98,5702016370522,,38,26,5.3,0.624,"",0,0,0,,0,0,,,,,,,,,51.3900,20.9500,"01/06/2019","31/12/2020"
"41808-1","Dots","Harry Potter",2023,"Hogwarts Accessories Pack",,234,12.99,14.99,19.99,14.99,5702017421193,673419377430,10,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,12.2700,,"01/03/2023","31/12/2023"
"70412-1","Pirates","",2015,"Soldiers Fort",5,234,29.99,29.99,39.99,34.99,5702015352345,673419231497,28.194,26.1874,5.8928,0.54,"",0,0,0,,0,0,,,,,,,,,134.6200,81.0400,"01/01/2015","31/12/2015"
"40143-1","Promotional","Toys R Us",2015,"Bricktober Bakery",,234,,,,,5702015355520,673419232135,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,23.6700,15.0000,"01/10/2015","31/12/2015"
"75141-1","Star Wars","Rebels",2016,"Kanan's Speeder Bike",3,234,19.99,19.99,24.99,29.99,5702015592123,673419247979,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,56.7600,41.8900,"01/01/2016","31/07/2017"
"75048-1","Star Wars","Rebels",2014,"The Phantom",2,234,19.99,24.99,29.99,29.99,5702015122399,673419210119,26.1874,19.1008,4.5974,0.32,"",0,0,0,,0,0,,,,,,,,,138.6300,70.5300,"01/06/2014","31/12/2015"
"4250-1","Creator","",2001,"Creator Bulk (Exclusive)",,234,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41496-1","BrickHeadz","DC Comics Super Heroes",2017,"Supergirl & Martian Manhunter",,234,,39.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,347.5000,,"",""
"21254-1","Minecraft","Minifig-scale",2024,"The Turtle Beach House",,234,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"77048-1","Animal Crossing","",2024,"Kapp'n's Island Boat Tour",,233,24.99,29.99,39.99,29.99,5702017592343,673419391146,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41026-1","Friends","Farm",2014,"Sunshine Harvest",1,233,17.99,19.99,24.99,19.99,5702015119412,673419207706,26.1874,19.1008,6.096,0.35,"",0,0,0,,0,0,,,,,,,,,22.0000,12.7100,"01/01/2014","31/12/2015"
"75138-1","Star Wars","Episode V",2016,"Hoth Attack",4,233,19.99,24.99,29.99,29.99,,673419247795,26.2128,19.1008,6.096,0.3810173,"",0,0,0,,0,0,,,,,,,,,53.2200,40.5700,"01/01/2016","31/12/2016"
"40138-1","Seasonal","Christmas",2015,"Christmas Train",,233,,,,,5702015354165,,19.1,14.1,6.1,0.204,"",0,0,0,,0,0,,,,,,,,,34.1900,25.6400,"01/10/2015","31/12/2015"
"70607-1","The LEGO Ninjago Movie","",2017,"NINJAGO City Chase",5,233,14.99,19.99,24.99,19.99,5702015592444,673419247634,26.2128,19.1008,6.096,0.3220503,"",0,0,0,,0,0,,,,,,,,,25.9700,7.6100,"01/08/2017","31/07/2018"
"2000421-1","Education","FIRST LEGO League",2013,"FLL Trophy Small",,233,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,84.5800,50.0000,"",""
"60073-1","City","Construction",2015,"Service Truck",2,233,17.99,24.99,29.99,19.99,5702015398718,673419230568,26.2128,19.1008,6.096,0.39498,"",0,0,0,,0,0,,,,,,,,,45.1700,19.2200,"01/01/2015","31/12/2016"
"41102-1","Friends","Seasonal",2015,"Friends Advent Calendar",2,233,19.99,29.99,39.99,19.99,5702015346917,,38.2016,26.1874,7.0612,0.38,"",0,0,0,,0,0,,,,,,,,,21.3300,15.4300,"01/09/2015","31/12/2015"
"76384-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Herbology Class",3,233,27.99,29.99,39.99,29.99,5702016912951,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,50.9600,42.3900,"01/01/2021","31/12/2021"
"1590-2","Town","Special",1982,"Breakdown Assistance",4,233,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1019.7900,113.1100,"",""
"8761-1","Bionicle","Warriors",2005,"Roodaka",,233,14.99,20,,,,673419059930,24,28.8,6,,"",0,0,0,,0,0,,,,,,,,,275.0000,82.2700,"01/03/2005","31/07/2006"
"6956-1","Space","M-Tron",1990,"Stellar Recon Voyager",2,233,,36,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,720.0000,115.8200,"",""
"6563-1","Town","Leisure",1996,"Gator Landing",3,233,,27.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,148.4600,28.2000,"",""
"367-2","Samsonite","Model Maker",1970,"Mini Airport and Vehicle",,233,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5477-1","Make and Create","",2006,"LEGO Classic House Building",,233,9.99,14.99,,,5702014472884,673419081160,14.6,20.3,12.5,0.65,"",0,0,0,,0,0,,,,,,,,,19.9900,16.2200,"",""
"4-4","Minitalia","",1970,"Large house set",,233,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,105.7800,"",""
"7553-1","City","Seasonal",2011,"City Advent Calendar",6,232,17.99,34.99,39.99,,5702014730403,673419143349,38.2,26.19,7.06,0.44,"",0,0,0,,0,0,,,,,,,,,20.4900,18.5000,"01/09/2011","31/12/2011"
"20204-1","Master Builder Academy","",2012,"Creature Designer",,232,,,,,,673419168182,,,,,"",0,0,0,,0,0,,,,,,,,,15.0000,23.9900,"",""
"4626-1","Bricks and More","",2012,"Farm Brick Box",1,232,12.99,14.99,17.99,,5702014840249,673419167451,28.8,19.2,19.5,0.62,"",0,0,0,,0,0,,,,,,,,,37.8100,19.8300,"01/01/2012","31/12/2013"
"60010-2","City","Fire",2013,"Fire Helicopter",2,232,29.99,39.99,49.99,,5702014959583,673419188029,28.2,26.2,6.4,,"",0,0,0,,0,0,,,,,,,,,33.3200,29.1400,"01/01/2013","31/12/2013"
